raw_signal,logical_signal
canvas_editor_ehr_tarzanehrui_c_rectangle_line_1984_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_1984_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_1985_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_1985_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_1986_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_1986_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_2062_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_2062_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_3072_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_3072_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_3100_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_3100_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_3192_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_3192_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_3216_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_3216_coords
canvas_editor_ehr_tarzanehrui_c_text_line_1994_text,canvas_editor_ehr_tarzanehrui_c_text_line_1994_text
canvas_editor_ehr_tarzanehrui_c_text_line_2003_text,canvas_editor_ehr_tarzanehrui_c_text_line_2003_text
canvas_editor_ehr_tarzanehrui_c_text_line_2050_text,canvas_editor_ehr_tarzanehrui_c_text_line_2050_text
canvas_editor_ehr_tarzanehrui_c_text_line_2051_text,canvas_editor_ehr_tarzanehrui_c_text_line_2051_text
canvas_editor_ehr_tarzanehrui_c_text_line_2083_text,canvas_editor_ehr_tarzanehrui_c_text_line_2083_text
canvas_editor_ehr_tarzanehrui_c_text_line_2084_text,canvas_editor_ehr_tarzanehrui_c_text_line_2084_text
canvas_editor_ehr_tarzanehrui_c_text_line_3115_text,canvas_editor_ehr_tarzanehrui_c_text_line_3115_text
canvas_editor_ehr_tarzanehrui_c_text_line_3122_text,canvas_editor_ehr_tarzanehrui_c_text_line_3122_text
canvas_editor_ehr_tarzanehrui_c_text_line_3132_text,canvas_editor_ehr_tarzanehrui_c_text_line_3132_text
canvas_editor_ehr_tarzanehrui_c_text_line_3228_text,canvas_editor_ehr_tarzanehrui_c_text_line_3228_text
canvas_editor_ehr_tarzanehrui_c_text_line_3239_text,canvas_editor_ehr_tarzanehrui_c_text_line_3239_text
canvas_editor_ehr_tarzanehrui_canvas_image_line_760_coords,canvas_editor_ehr_tarzanehrui_canvas_image_line_760_coords
canvas_editor_ehr_tarzanehrui_canvas_rectangle_line_1300_coords,canvas_editor_ehr_tarzanehrui_canvas_rectangle_line_1300_coords
canvas_editor_ehr_tarzanehrui_canvas_window_line_1226_coords,canvas_editor_ehr_tarzanehrui_canvas_window_line_1226_coords
canvas_editor_ehr_tarzanehrui_item_text,canvas_editor_ehr_tarzanehrui_item_text
canvas_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_1010_coords,canvas_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_1010_coords
canvas_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_1011_coords,canvas_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_1011_coords
canvas_editor_ehr_tarzanehrui_row_window_coords,canvas_editor_ehr_tarzanehrui_row_window_coords
canvas_editor_ehr_tarzanehrui_save_button_window_coords,canvas_editor_ehr_tarzanehrui_save_button_window_coords
canvas_editor_par_tarzannextionpreview_edit_window_coords,canvas_editor_par_tarzannextionpreview_edit_window_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_591_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_591_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_623_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_623_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_640_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_640_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_692_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_692_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_718_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_image_line_718_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_415_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_415_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_432_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_432_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_445_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_445_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_737_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_737_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_738_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_738_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_818_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_line_line_818_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_oval_line_740_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_oval_line_740_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_394_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_394_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_512_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_512_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_527_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_527_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_593_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_593_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_625_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_625_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_642_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_642_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_785_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_785_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_787_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_787_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_790_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_790_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_797_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_797_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_815_coords,canvas_editor_par_tarzannextionpreview_screen_canvas_rectangle_line_815_coords
canvas_editor_par_tarzannextionpreview_screen_canvas_text_line_400_text,canvas_editor_par_tarzannextionpreview_screen_canvas_text_line_400_text
canvas_editor_par_tarzannextionpreview_screen_canvas_text_line_414_text,canvas_editor_par_tarzannextionpreview_screen_canvas_text_line_414_text
